bus_id,name,country,long_type,capacity,longitude,latitude,type,category,H,marginal_cost
82,Orfey,BG,hydro_pure_ps,160.0,24.356689,41.99216,PS,H,3.0,100
83,Devin,BG,hydro_ror,88.0,24.455566,41.746726,RR,H,3.0,10
84,Teshel,BG,hydro_ror,60.0,24.32373,41.640078,RR,H,3.0,10
92,Ulze,AL,hydro_pure_storage,24.0,20.039062,41.566142,DA,H,4.0,80
515,Vlore,AL,fossil_mixed,100.0,19.434814,40.446947,FM,F,6.0,100
511,Shkopet,AL,hydro_pure_storage,25.0,19.962158,41.640078,DA,H,4.0,80
101,Pournari,GR,hydro_pure_storage,333.600006,21.269531,39.257778,DA,H,4.0,80
103,Stratos,GR,hydro_pure_storage,81.300003,21.335449,38.61687,DA,H,4.0,80
103,Kremasta,GR,hydro_pure_storage,437.200012,21.643066,38.822591,DA,H,4.0,80
103,Kastraki,GR,hydro_pure_storage,320.0,21.390381,38.771216,DA,H,4.0,80
107,N. Plastiras,GR,hydro_pure_storage,129.899994,21.796875,39.283294,DA,H,4.0,80
119,Ladonas,GR,hydro_pure_storage,70.0,21.928711,37.814124,DA,H,4.0,80
99,Megalopoli,GR,fossil_coal_gas_cons,845.0,22.280273,37.422526,CG,G,6.0,110
1379,Chania,GR,fossil_oil,355.200012,23.961182,35.487511,FO,F,6.0,100
114,Thissavros,GR,hydro_mixed,384.0,24.356689,41.244772,HY,H,3.0,60
1379,Linoperamata,GR,fossil_oil,278.799988,24.927979,35.371135,FO,F,6.0,100
124,Ptolemaida,GR,fossil_brown_lignite,593.0,21.665039,40.488737,LI,C,6.0,24
124,Agras,GR,hydro_pure_storage,50.0,21.917725,40.663973,DA,H,4.0,80
121,Assomata,GR,hydro_pure_storage,108.0,22.510986,40.396764,DA,H,4.0,80
122,Sfikia,GR,hydro_mixed,315.0,22.401123,40.33817,HY,H,3.0,60
122,Polyphyto,GR,hydro_pure_storage,375.0,22.324219,40.271144,DA,H,4.0,80
110,Ag. Georgios,GR,fossil_coal_gas,360.0,23.69751,37.926868,CG,G,6.0,110
114,Platanovrisi,GR,hydro_pure_storage,116.0,24.664307,41.253032,DA,H,4.0,80
116,Komotini,GR,fossil_coal_gas,484.600006,25.367432,41.120746,CG,G,6.0,110
115,Meliti,GR,fossil_brown_lignite,330.0,21.478271,40.838749,LI,C,6.0,24
118,Heron,GR,fossil_coal_gas,579.799988,23.203125,38.289937,CG,G,6.0,110
106,Ag.Nikolaos,GR,fossil_coal_gas,448.5,22.543945,38.367502,CG,G,6.0,110
121,Enthes,GR,fossil_coal_gas,395.0,22.609863,40.647304,CG,G,6.0,110
1379,Atherinolakkos,GR,fossil_oil,195.199997,26.114502,35.074965,FO,F,6.0,100
118,Thisvi,GR,fossil_coal_gas,421.600006,23.126221,38.186387,CG,G,6.0,110
129,Levante,IT,fossil_coal_gas,456.0,14.348145,40.813809,CG,G,6.0,110
169,Capriati,IT,hydro_mixed,120.0,14.161377,41.516804,HY,H,3.0,60
167,Presenzano,IT,hydro_ror,1200.0,14.106445,41.385052,RR,H,3.0,10
191,Maddaloni,IT,fossil_oil,415.0,14.468994,41.029643,FO,F,6.0,100
135,Bari,IT,fossil_oil,272.0,16.875,41.104191,FO,F,6.0,100
201,Brindisi /N.,IT,fossil_oil,1436.0,17.95166,40.638967,FO,F,6.0,100
130,Brindisi /S.,IT,fossil_brown_lignite,2910.0,18.061523,40.513799,LI,C,6.0,24
170,Rossano,IT,fossil_oil,1979.0,16.534424,39.512517,FO,F,6.0,100
183,S. F. Mela,IT,fossil_oil,1455.0,15.292969,38.212288,FO,F,6.0,100
176,Anapo,IT,hydro_ror,660.0,14.985352,37.07271,RR,H,3.0,10
171,ISAB,IT,fossil_oil,679.0,15.26001,37.011326,FO,F,6.0,100
154,Giugliano,IT,fossil_oil,423.0,14.0625,40.805494,FO,F,6.0,100
216,Candela,IT,fossil_coal_gas,475.0,15.556641,41.162114,CG,G,6.0,110
