bus_id,name,country,long_type,capacity,longitude,latitude,type,category
119,WF-5,GR,wind,90.0,22.038574,38.470794,WD,R
147,Trapani-Salemi,IT,wind,-1.0,12.524414,37.814124,WD,R
149,Partinico,IT,wind,48.0,13.19458,38.022131,WD,R
202,Capo Rizzuto,IT,wind,136.0,17.050781,38.942321,WD,R
295,Wind farms,ES,wind,-1.0,-0.571288999999998,40.555548,WD,R
99,WF-8,GR,wind,170.0,22.280273,37.675125,WD,R
120,WF-7,GR,wind,130.0,22.884521,37.68382,WD,R
1375,WF-3,GR,wind,105.0,24.32373,38.169114,WD,R
118,WF-4,GR,wind,205.0,23.444824,38.307181,WD,R
116,WF-1,GR,wind,195.0,25.817871,41.26955,WD,R
1379,WF-10,GR,wind,170.0,24.927979,35.191767,WD,R
103,WF-6,GR,wind,80.0,20.621338,38.212288,WD,R
103,WF-2,GR,wind,90.0,21.30249,38.882481,WD,R
119,WF-9,GR,wind,170.0,22.214355,38.022131,WD,R
1499,Douro Sul,PT,wind,149.0,-7.646484,40.888601,WD,R
1556,Malhanito,PT,wind,57.0,-7.866211,37.300275,WD,R
1546,Pampilhosa,PT,wind,97.0,-7.97607400000001,40.019201,WD,R
1497,Penamacor,PT,wind,124.0,-7.05322299999999,40.128491,WD,R
1659,Olmedilla,ES,wind,-1.0,-1.97753899999999,39.478606,WD,R
1538,Candeeiros,PT,wind,103.0,-8.83300799999999,39.419221,WD,R
1507,Chão Falcão,PT,wind,78.0,-8.81103500000001,39.554883,WD,R
1546,P. Interior,PT,wind,130.0,-7.866211,39.867588,WD,R
1495,Gardunha,PT,wind,114.0,-7.62451200000001,39.97712,WD,R
1546,Toutiço,PT,wind,102.0,-7.81127899999999,40.145289,WD,R
1553,Lousã II,PT,wind,50.0,-8.21777299999999,40.103286,WD,R
1497,Raia,PT,wind,110.0,-7.03125,40.229218,WD,R
1517,Montemuro,PT,wind,112.0,-8.261719,40.855371,WD,R
1529,Caramulo,PT,wind,90.0,-8.129883,40.680638,WD,R
6315,Alto Minho,PT,wind,240.0,-8.64624000000001,41.943149,WD,R
1548,Alto Coutada,PT,wind,142.0,-7.84423800000001,41.442726,WD,R
1505,T.A. Fafe,PT,wind,101.0,-8.261719,41.43449,WD,R
1503,Terra Fria,PT,wind,87.0,-7.71240200000001,41.812267,WD,R
1553,Beiras,PT,wind,85.0,-7.83325200000001,40.212441,WD,R
1549,Bornes,PT,wind,60.0,-7.075195,41.483891,WD,R
1499,Pisco,PT,wind,50.0,-7.745361,40.797177,WD,R
2367,Měděnec,CZ,wind,42.0,13.150635,50.415519,WD,R
2540,Horns Rev 1,DK,wind,160.0,7.80029300000001,55.497527,WD,R
2541,Horns Rev 2,DK,wind,210.0,7.75634799999999,55.683779,WD,R
2545,Anholt,DK,wind,400.0,11.162109,56.656226,WD,R
5906,Windpark Iven,DE,wind,-1.0,13.304443,53.839564,WD,R
3020,Windpark Putlitz,DE,wind,229.0,12.293701,53.383328,WD,R
3019,Windpark Bertikow,DE,wind,279.0,13.656006,53.219191,WD,R
3026,Windpark Schönewalde,DE,wind,182.0,13.161621,51.68618,WD,R
3044,Baltic 1,DE,wind,-1.0,12.546387,54.57843,WD,R
3256,Margonin,PL,wind,120.0,17.017822,53.047818,WD,R
5916,Tariverde,RO,wind,295.0,28.586426,44.746733,WD,R
5102,Salles Curan,FR,wind,87.0,2.66967800000001,44.205835,WD,R
5373,Amaliapark,NL,wind,120.0,4.372559,52.502848,WD,R
5392,OWEZ,NL,wind,108.0,4.35058600000001,52.342052,WD,R
5821,Baltic 2,DE,wind,288.0,12.875977,54.718275,WD,R
5825,Rødsand 1 (Nysted),DK,wind,165.0,11.656494,54.54658,WD,R
5826,Rødsand 2,DK,wind,215.0,11.502686,54.565693,WD,R
4019,Medigidia Sud,RO,wind,223.0,28.45459,44.363133,WD,R
2395,Kuřivody,CZ,solar_pv,56.0,14.776611,50.394512,PV,R
2395,Spomyšl,CZ,solar_pv,30.0,14.425049,50.34546,PV,R
2968,Windpark Wustermark,DE,wind,145.0,12.480469,52.556316,WD,R
5865,Epizon,FR,wind,78.0,5.31738300000001,48.312428,WD,R
4441,Vrataruša,HR,wind,42.0,14.864502,44.988113,WD,R
4022,Tulcea Vest,RO,wind,33.0,29.11377,45.127805,WD,R
3261,Karścino Pobłocie,PL,wind,90.0,15.864258,54.09806,WD,R
3261,Tymień,PL,wind,50.0,15.974121,54.23313,WD,R
3265,Karcino,PL,wind,51.0,15.336914,54.104502,WD,R
3341,Tychowo (1),PL,wind,50.0,16.688232,54.348553,WD,R
5897,Horns Rev 3,DK,wind_cons,400.0,7.58056600000001,55.801281,WD,R
5899,Kriegers Flak,DK,wind_cons,600.0,13.007812,54.990222,WD,R
3022,Windpark Wessin,DE,wind,-1.0,11.898193,53.540307,WD,R
5353,Canaro,IT,solar_thermal,2362.0,11.568604,44.949249,SO,R
3261,Bardy-Dygowo,PL,wind,50.0,15.732422,54.156001,WD,R
5916,Rahman,RO,wind,50.0,28.300781,44.918139,WD,R
3250,Pągów,PL,wind,51.0,17.424316,51.206883,WD,R
3256,Chwiram,PL,wind,79.5,17.160645,53.061025,WD,R
4019,Stupina,RO,wind,50.0,28.619385,44.59829,WD,R
5970,Windpark Altentreptow/Nord,DE,wind,-1.0,13.381348,53.67068,WD,R
4431,Velika Glava,HR,wind,275.0,16.149902,43.612217,WD,R
3261,Kukinia,PL,wind,54.0,15.831299,54.20101,WD,R
3268,Iłża II,PL,wind,54.0,21.258545,51.117317,WD,R
4020,Gura lalomitei,RO,wind,50.0,27.993164,44.715514,WD,R
6046,Wikinger,DE,wind_cons,288.0,14.018555,54.642055,WD,R
6047,Arkona-Becken Südost,DE,wind_cons,288.0,14.161377,54.572062,WD,R
4433,Ogorje,HR,wind,275.0,16.358643,43.651975,WD,R
3229,Banie,PL,wind,50.0,14.842529,53.061025,WD,R
5947,Korytnica,PL,wind,82.5,21.610107,52.321911,WD,R
3246,Krobia,PL,wind,63.0,16.831055,51.740636,WD,R
3342,Osieki,PL,wind,90.0,17.918701,54.737308,WD,R
6063,Constantin,FR,solar_pv,230.0,-0.659179999999999,44.621754,PV,R
6068,Pezilla-la-Rivière,FR,wind_cons,88.0,2.66967800000001,42.544987,WD,R
6360,Wind Farms,ES,wind,-1.0,-9.03076200000001,42.811522,WD,R
6334,Arrúbal,ES,wind,799.0,-1.96655299999999,42.334184,WD,R
6349,Uninsa,ES,wind,-1.0,-5.60302699999999,43.397065,WD,R
4986,Wind FR 1,FR,wind,17.5,6.679688,49.131408,WD,R
5058,Wind FR 2,FR,wind,19.8,4.76806599999999,49.724479,WD,R
4576,Wind FR 3,FR,wind,171.50500000000002,2.98828099999999,43.22119,WD,R
6977,Wind FR 4,FR,wind,11.5,-1.40625023936826,48.0633965200832,WD,R
4522,Wind FR 5,FR,wind,82.95,-0.483397999999997,46.17983,WD,R
4818,Wind FR 6,FR,wind,59.63,2.49389600000001,48.070738,WD,R
6160,Wind FR 7,FR,wind,0.8,-1.53808599999999,48.092757,WD,R
4804,Wind FR 8,FR,wind,61.9,4.49340799999999,49.802541,WD,R
4802,Wind FR 9,FR,wind,27.65,4.954834,48.799627,WD,R
4988,Wind FR 10,FR,wind,63.06,5.18554700000001,49.510944,WD,R
4814,Wind FR 11,FR,wind,210.4,1.625977,48.188063,WD,R
7538,Wind FR 12,FR,wind,17.700000000000003,1.75781199999999,48.239309,WD,R
4624,Wind FR 13,FR,wind,28.8,2.98828099999999,45.759859,WD,R
4364,Wind FR 14,FR,wind,45.0,5.67993199999999,49.460984,WD,R
4541,Wind FR 15,FR,wind,16.5,0.417480000000009,49.646291,WD,R
4673,Wind FR 16,FR,wind,26.5,4.18579099999999,45.197522,WD,R
7553,Wind FR 17,FR,wind,51.3,2.823486,44.134913,WD,R
6137,Wind FR 18,FR,wind,2.9,-4.27368199999999,48.392738,WD,R
4666,Wind FR 19,FR,wind,16.0,4.87793000000001,44.653024,WD,R
4921,Wind FR 20,FR,wind,508.5000000000001,1.856689,49.781264,WD,R
4883,Wind FR 21,FR,wind,55.155,3.99902300000001,47.864774,WD,R
4880,Wind FR 22,FR,wind,120.05000000000001,3.65844699999999,48.589326,WD,R
4618,Wind FR 23,FR,wind,37.0,1.73584000000001,46.437857,WD,R
4888,Wind FR 24,FR,wind,796.2300000000001,3.86718799999999,48.502048,WD,R
4660,Wind FR 25,FR,wind,6.0,4.79003900000001,44.582643,WD,R
7015,Wind FR 26,FR,wind,29.6,1.40867363234957,46.2085970959993,WD,R
4623,Wind FR 27,FR,wind,1.2,3.02124000000001,45.912944,WD,R
4604,Wind FR 28,FR,wind,21.0,2.614746,44.41024,WD,R
7347,Wind FR 29,FR,wind,32.766000000000005,-1.4048246060893,46.8314748756361,WD,R
4668,Wind FR 30,FR,wind,17.6,4.943848,44.972571,WD,R
4965,Wind FR 31,FR,wind,0.75,3.16406199999999,50.715591,WD,R
4467,Wind FR 32,FR,wind,25.61,2.746582,44.0718,WD,R
4582,Wind FR 33,FR,wind,18.0,3.669434,45.02695,WD,R
4873,Wind FR 34,FR,wind,56.0,3.65844699999999,47.857403,WD,R
4542,Wind FR 35,FR,wind,8.0,0.329590000000012,47.908978,WD,R
4911,Wind FR 36,FR,wind,45.599999999999994,4.22973599999999,49.224773,WD,R
