bus_id1,bus_id2,voltage1,voltage2,is_transformer,r,x,fmax
5836,5837,220.0,380.0,true,2.0,55.0,1000.0
5197,5198,220.0,380.0,true,2.0,55.0,1000.0
1642,1643,220.0,380.0,true,2.0,55.0,1000.0
1508,1509,220.0,380.0,true,2.0,55.0,1000.0
166,167,220.0,380.0,true,2.0,55.0,1000.0
4925,4926,220.0,380.0,true,2.0,55.0,1000.0
2656,2657,220.0,380.0,true,2.0,55.0,1000.0
5562,5563,220.0,380.0,true,2.0,55.0,1000.0
1587,1588,220.0,380.0,true,2.0,55.0,1000.0
296,297,220.0,380.0,true,2.0,55.0,1000.0
5423,5424,220.0,380.0,true,2.0,55.0,1000.0
6282,6283,220.0,380.0,true,2.0,55.0,1000.0
4990,4991,220.0,380.0,true,2.0,55.0,1000.0
531,532,220.0,380.0,true,2.0,55.0,1000.0
4436,4437,220.0,380.0,true,2.0,55.0,1000.0
1689,1690,220.0,380.0,true,2.0,55.0,1000.0
5260,5261,220.0,380.0,true,2.0,55.0,1000.0
5009,5010,220.0,380.0,true,2.0,55.0,1000.0
4761,4762,220.0,380.0,true,2.0,55.0,1000.0
1523,1524,220.0,380.0,true,2.0,55.0,1000.0
4923,4924,220.0,380.0,true,2.0,55.0,1000.0
191,192,220.0,380.0,true,2.0,55.0,1000.0
6332,6333,220.0,380.0,true,2.0,55.0,1000.0
4361,4362,220.0,380.0,true,2.0,55.0,1000.0
182,183,220.0,380.0,true,2.0,55.0,1000.0
6150,6151,220.0,380.0,true,2.0,55.0,1000.0
3240,3241,220.0,380.0,true,2.0,55.0,1000.0
5319,5320,220.0,380.0,true,2.0,55.0,1000.0
4366,4367,220.0,380.0,true,2.0,55.0,1000.0
4602,4603,220.0,380.0,true,2.0,55.0,1000.0
5366,5367,220.0,380.0,true,2.0,55.0,1000.0
4653,4654,220.0,380.0,true,2.0,55.0,1000.0
5899,5900,132.0,220.0,true,2.0,55.0,1000.0
4335,4336,220.0,380.0,true,2.0,55.0,1000.0
2431,2433,132.0,380.0,true,2.0,55.0,1000.0
5470,5471,220.0,380.0,true,2.0,55.0,1000.0
3291,3292,220.0,380.0,true,2.0,55.0,1000.0
2795,2796,220.0,380.0,true,2.0,55.0,1000.0
3966,3967,220.0,380.0,true,2.0,55.0,1000.0
2821,2822,220.0,380.0,true,2.0,55.0,1000.0
5186,5187,220.0,380.0,true,2.0,55.0,1000.0
6266,6267,220.0,380.0,true,2.0,55.0,1000.0
4946,4947,220.0,380.0,true,2.0,55.0,1000.0
1732,1733,220.0,380.0,true,2.0,55.0,1000.0
5504,5505,220.0,380.0,true,2.0,55.0,1000.0
5589,5590,220.0,380.0,true,2.0,55.0,1000.0
4325,4326,220.0,380.0,true,2.0,55.0,1000.0
4537,4538,220.0,380.0,true,2.0,55.0,1000.0
4633,4634,220.0,380.0,true,2.0,55.0,1000.0
4503,4504,220.0,380.0,true,2.0,55.0,1000.0
5525,5526,220.0,380.0,true,2.0,55.0,1000.0
4514,4515,220.0,380.0,true,2.0,55.0,1000.0
4010,4011,220.0,380.0,true,2.0,55.0,1000.0
4485,4486,220.0,380.0,true,2.0,55.0,1000.0
2652,2653,220.0,380.0,true,2.0,55.0,1000.0
4820,4821,220.0,380.0,true,2.0,55.0,1000.0
2360,2361,220.0,380.0,true,2.0,55.0,1000.0
245,246,220.0,380.0,true,2.0,55.0,1000.0
4033,4034,220.0,380.0,true,2.0,55.0,1000.0
4292,4293,220.0,380.0,true,2.0,55.0,1000.0
2824,2825,220.0,380.0,true,2.0,55.0,1000.0
5416,5417,220.0,380.0,true,2.0,55.0,1000.0
1721,1722,220.0,380.0,true,2.0,55.0,1000.0
1662,1663,220.0,380.0,true,2.0,55.0,1000.0
3349,3350,220.0,380.0,true,2.0,55.0,1000.0
2884,2885,220.0,380.0,true,2.0,55.0,1000.0
6682,6683,220.0,380.0,true,2.0,55.0,1000.0
2505,2506,132.0,380.0,true,2.0,55.0,1000.0
1515,1516,220.0,380.0,true,2.0,55.0,1000.0
2357,2358,220.0,380.0,true,2.0,55.0,1000.0
5243,5244,220.0,380.0,true,2.0,55.0,1000.0
1606,1607,220.0,380.0,true,2.0,55.0,1000.0
4689,4690,220.0,380.0,true,2.0,55.0,1000.0
6144,6145,220.0,380.0,true,2.0,55.0,1000.0
3357,3358,220.0,380.0,true,2.0,55.0,1000.0
5311,5312,220.0,380.0,true,2.0,55.0,1000.0
2714,2715,220.0,380.0,true,2.0,55.0,1000.0
5168,5169,220.0,380.0,true,2.0,55.0,1000.0
4716,4717,220.0,380.0,true,2.0,55.0,1000.0
4816,4817,220.0,380.0,true,2.0,55.0,1000.0
2448,2449,132.0,380.0,true,2.0,55.0,1000.0
5257,5258,220.0,380.0,true,2.0,55.0,1000.0
5510,5511,220.0,380.0,true,2.0,55.0,1000.0
4661,4662,220.0,380.0,true,2.0,55.0,1000.0
6276,6277,220.0,380.0,true,2.0,55.0,1000.0
5275,5276,220.0,380.0,true,2.0,55.0,1000.0
1665,1666,220.0,380.0,true,2.0,55.0,1000.0
2524,2526,132.0,380.0,true,2.0,55.0,1000.0
4802,4803,220.0,380.0,true,2.0,55.0,1000.0
2502,2503,132.0,380.0,true,2.0,55.0,1000.0
2913,2914,220.0,380.0,true,2.0,55.0,1000.0
4875,4876,220.0,380.0,true,2.0,55.0,1000.0
1591,1592,220.0,380.0,true,2.0,55.0,1000.0
2491,2492,220.0,380.0,true,2.0,55.0,1000.0
4304,4305,220.0,380.0,true,2.0,55.0,1000.0
4391,4392,132.0,220.0,true,2.0,55.0,1000.0
2889,2890,220.0,380.0,true,2.0,55.0,1000.0
6284,6285,220.0,380.0,true,2.0,55.0,1000.0
4542,4543,220.0,380.0,true,2.0,55.0,1000.0
2744,2745,220.0,380.0,true,2.0,55.0,1000.0
4986,4987,220.0,380.0,true,2.0,55.0,1000.0
6209,6210,220.0,380.0,true,2.0,55.0,1000.0
4359,4360,220.0,380.0,true,2.0,55.0,1000.0
1736,1737,220.0,380.0,true,2.0,55.0,1000.0
2490,2492,132.0,380.0,true,2.0,55.0,1000.0
5026,5027,220.0,380.0,true,2.0,55.0,1000.0
5279,5280,220.0,380.0,true,2.0,55.0,1000.0
2704,2705,220.0,380.0,true,2.0,55.0,1000.0
5313,5314,220.0,380.0,true,2.0,55.0,1000.0
2508,2510,132.0,380.0,true,2.0,55.0,1000.0
3030,3031,132.0,220.0,true,2.0,55.0,1000.0
5578,5579,220.0,380.0,true,2.0,55.0,1000.0
5587,5588,220.0,380.0,true,2.0,55.0,1000.0
1723,1724,220.0,380.0,true,2.0,55.0,1000.0
4885,4886,220.0,380.0,true,2.0,55.0,1000.0
3273,3274,220.0,380.0,true,2.0,55.0,1000.0
2952,2953,220.0,380.0,true,2.0,55.0,1000.0
